Sección,Concepto,Dato
Clientes,Usuarios activos mensuales (MAU),204 millones en 2025
Clientes,Usuarios activos diarios (DAU),31,9 millones
Clientes,Pico de usuarios diarios,55,1 millones
Clientes,Concurrentes en línea,Entre 2,2 y 3,2 millones simultáneamente
Clientes,Edad promedio,8 a 30 años
Clientes,Distribución geográfica,EE.UU - Europa - Asia - Latinoamérica
Clientes,Plataformas,PC (Java Edition) - Xbox - PlayStation - Nintendo Switch - Móviles (iOS y Android)
Clientes,Perfil de cliente,Creativo - Social - Educativo - Fiel al juego
Clientes,Uso educativo,Minecraft Education Edition en escuelas (matemáticas, historia, programación)
Clientes,Comunidad online,YouTube - Twitch - Servidores multijugador - Mods
